Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,Product Status,"Number of Bits","Number of Channels","Power (Watts)","Voltage - Supply, Analog","Voltage - Supply, Digital","Mounting Type","Package / Case","Supplier Device Package","Grade","Qualification"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADAS1000-3_1000-4.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4830/505~ST-64-2~ST~64.JPG","505-ADAS1000-4BSTZ-RLTR-ND,505-ADAS1000-4BSTZ-RLCT-ND,505-ADAS1000-4BSTZ-RLDKR-ND","ADAS1000-4BSTZ-RL","Analog Devices Inc.","Analog Devices Inc.","IC AFE 4 CHAN 19BIT 64LQFP","1,500","27.52","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","19","4","-","3.15V ~ 5.5V","1.71V ~ 1.89V","Surface Mount","64-LQFP","64-LQFP (10x10)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADAS1000_1000-1_1000-2.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/22/505;CP-56-7;CP;56.jpg","505-ADAS1000BCPZ-RLTR-ND,505-ADAS1000BCPZ-RLCT-ND,505-ADAS1000BCPZ-RLDKR-ND","ADAS1000BCPZ-RL","Analog Devices Inc.","Analog Devices Inc.","IC AFE 5 CHAN 19BIT 56LFCSP","2,500","40.86","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","19","5","-","3.15V ~ 5.5V","1.71V ~ 1.89V","Surface Mount","56-VFQFN Exposed Pad, CSP","56-LFCSP-VQ (9x9)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADAS1000_1000-1_1000-2.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4830/505~ST-64-2~ST~64.JPG","505-ADAS1000BSTZ-RLTR-ND,505-ADAS1000BSTZ-RLCT-ND,505-ADAS1000BSTZ-RLDKR-ND","ADAS1000BSTZ-RL","Analog Devices Inc.","Analog Devices Inc.","IC AFE 5 CHAN 19BIT 64LQFP","1,435","40.86","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","19","5","-","3.15V ~ 5.5V","1.71V ~ 1.89V","Surface Mount","64-LQFP","64-LQFP (10x10)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fafe7225","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4848/296_64-QFN.jpg","296-30102-2-ND,296-30102-1-ND,296-30102-6-ND","AFE7225IRGCT","Texas Instruments","Texas Instruments","IC AFE 4 CHAN 12BIT 64VQFN","250","50.92","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","12","4","650 mW","2.85V ~ 3.6V","1.7V ~ 1.9V","Surface Mount","64-VFQFN Exposed Pad","64-VQFN (9x9)","-","-"
"https://ww1.microchip.com/downloads/en/DeviceDoc/DS60001524A.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/5397/150~20SOIC-7,5~S~20.JPG","ATSENSE101A-SURTR-ND,1611-ATSENSE101A-SURCT-ND,ATSENSE101A-SURCT-ND,ATSENSE101A-SURDKR-ND","ATSENSE101A-SUR","Microchip Technology","Microchip Technology","IC AFE 3 CHAN 24BIT 20SOIC","0","1.39","0","1","Tape & Reel (TR),Cut Tape (CT),Cut Tape (CT),Digi-Reel®","-","Active","24","3","2.5 mW","2.7V ~ 2.9V","3V ~ 3.6V","Surface Mount","20-SOIC (0.295"", 7.50mm Width)","20-SOIC","-","-"
"https://ww1.microchip.com/downloads/en/DeviceDoc/DS60001524A.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/323/150;-32TQFP-1.2-7x7;-;-32.jpg","ATSENSE201A-AURTR-ND,1611-ATSENSE201A-AURCT-ND,ATSENSE201A-AURCT-ND,ATSENSE201A-AURDKR-ND","ATSENSE201A-AUR","Microchip Technology","Microchip Technology","IC AFE 4 CHAN 24BIT 32TQFP","0","1.76","0","1","Tape & Reel (TR),Cut Tape (CT),Cut Tape (CT),Digi-Reel®","-","Active","24","4","2.5 mW","2.7V ~ 2.9V","3V ~ 3.6V","Surface Mount","32-TQFP","32-TQFP (7x7)","-","-"
"https://ww1.microchip.com/downloads/en/DeviceDoc/DS60001524A.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/323/150;-32TQFP-1.2-7x7;-;-32.jpg","ATSENSE201HA-AURTR-ND,1611-ATSENSE201HA-AURCT-ND,ATSENSE201HA-AURCT-ND,ATSENSE201HA-AURDKR-ND","ATSENSE201HA-AUR","Microchip Technology","Microchip Technology","IC AFE 4 CHAN 24BIT 32TQFP","0","1.88","0","1","Tape & Reel (TR),Cut Tape (CT),Cut Tape (CT),Digi-Reel®","-","Active","24","4","2.5 mW","2.7V ~ 2.9V","3V ~ 3.6V","Surface Mount","32-TQFP","32-TQFP (7x7)","-","-"
"https://ww1.microchip.com/downloads/en/DeviceDoc/DS60001524A.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/323/150;-32TQFP-1.2-7x7;-;-32.jpg","ATSENSE301A-AURTR-ND,1611-ATSENSE301A-AURCT-ND,ATSENSE301A-AURCT-ND,ATSENSE301A-AURDKR-ND","ATSENSE301A-AUR","Microchip Technology","Microchip Technology","IC AFE 7 CHAN 24BIT 32TQFP","0","2.06","0","1","Tape & Reel (TR),Cut Tape (CT),Cut Tape (CT),Digi-Reel®","-","Active","24","7","2.5 mW","2.7V ~ 2.9V","3V ~ 3.6V","Surface Mount","32-TQFP","32-TQFP (7x7)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp91050","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4190/296%7E4073272%7EDGS%7E10.JPG","296-36934-2-ND,296-36934-1-ND,296-36934-6-ND","LMP91050MME/NOPB","Texas Instruments","Texas Instruments","IC AFE 1 CHAN 10VSSOP","213","3.97","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Obsolete","-","1","-","2.7V ~ 5.5V","2.7V ~ 5.5V","Surface Mount","10-TFSOP, 10-MSOP (0.118"", 3.00mm Width)","10-VSSOP","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/AD73311.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4900/505~RS-20~RS~20.JPG","505-AD73311LARUZ-RL7TR-ND,505-AD73311LARUZ-RL7CT-ND","AD73311LARUZ-RL7","Analog Devices Inc.","Analog Devices Inc.","IC AFE 1 CHAN 16BIT 20SSOP","0","4.71771","0","1000","Tape & Reel (TR),Cut Tape (CT)","-","Active","16","1","50 mW","2.7V ~ 5.25V","2.7V ~ 5.25V","Surface Mount","20-SSOP (0.209"", 5.30mm Width)","20-SSOP","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp91000","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/Pkg%20SDA14B.jpg","LMP91000SDE/NOPBTR-ND,LMP91000SDE/NOPBCT-ND,LMP91000SDE/NOPBDKR-ND","LMP91000SDE/NOPB","Texas Instruments","Texas Instruments","IC AFE 1 CHAN 8BIT 14WSON","21,941","4.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Obsolete","-","1","-","2.7V ~ 5.25V","2.7V ~ 5.25V","Surface Mount","14-WFDFN Exposed Pad","14-WSON (4x4)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp91000","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/Pkg%20SDA14B.jpg","296-44382-2-ND,296-44382-1-ND,296-44382-6-ND","LMP91000SD/NOPB","Texas Instruments","Texas Instruments","IC AFE 1 CHAN 8BIT 14WSON","12,715","4.77","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Obsolete","8","1","-","2.7V ~ 5.25V","2.7V ~ 5.25V","Surface Mount","14-WFDFN Exposed Pad","14-WSON (4x4)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp91002","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/Pkg%20SDA14B.jpg","LMP91002SD/NOPBTR-ND,LMP91002SD/NOPBCT-ND,LMP91002SD/NOPBDKR-ND","LMP91002SD/NOPB","Texas Instruments","Texas Instruments","IC AFE 1 CHAN 8BIT 14WSON","2,487","4.91","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Obsolete","8","1","-","2.7V ~ 3.6V","2.7V ~ 3.6V","Surface Mount","14-WFDFN Exposed Pad","14-WSON (4x4)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp91002","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2585/Pkg%20SDA14B.jpg","296-44286-2-ND,296-44286-1-ND,296-44286-6-ND","LMP91002SDE/NOPB","Texas Instruments","Texas Instruments","IC AFE 1 CHAN 8BIT 14WSON","400","4.91","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Obsolete","8","1","-","2.7V ~ 3.6V","2.7V ~ 3.6V","Surface Mount","14-WFDFN Exposed Pad","14-WSON (4x4)","-","-"
"//mm.digikey.com/Volume0/opasdata/d220001/medias/docus/4831/AIS339.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/4832/MFG_AIS339.jpg","4798-AIS339TR-ND,4798-AIS339CT-ND,4798-AIS339DKR-ND","AIS339","AIStorm, Inc","AIStorm, Inc","CHAMELEON ENABLES SIGNAL CAPTURE","4,000","5.35","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","18","5","-","2.7V ~ 3.6V","2.7V ~ 3.6V","Surface Mount","48-QFN","48-TQFN (5x5)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fads1192","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/769/296%3B-4223442%3B-RHB%3B-32.jpg","296-35024-2-ND,296-35024-1-ND,296-35024-6-ND,2156-ADS1192IRSMT-ND","ADS1192IRSMT","Texas Instruments","Texas Instruments,Rochester Electronics, LLC","IC AFE 2 CHAN 16BIT 32VQFN","0","5.36","0","57","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®,Bulk","-","Active","16","2","740 µW","2.7V ~ 5.25V","1.7V ~ 3.6V","Surface Mount","32-VFQFN Exposed Pad","32-VQFN (4x4)","-","-"
"https://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=https%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Flmp93601","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/2405/24-QFN%20Exposed%20Pad.jpg","296-40291-2-ND,296-40291-1-ND,296-40291-6-ND,2156-LMP93601NHZT-ND","LMP93601NHZT","Texas Instruments","Texas Instruments,Rochester Electronics, LLC","IC AFE 1 CHAN 16BIT 24WQFN","0","5.82","0","52","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®,Bulk","-","Obsolete","16","1","-","2.7V ~ 5.5V","2.7V ~ 5.5V","Surface Mount","24-WFQFN Exposed Pad","24-WQFN (4x5)","-","-"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADPD103.pdf","//mm.digikey.com/Volume0/opasdata/d220001/medias/images/3579/505~CB-16-18~CB~16.JPG","ADPD103BCBZRL7TR-ND,ADPD103BCBZRL7CT-ND,ADPD103BCBZRL7DKR-ND","ADPD103BCBZRL7","Analog Devices Inc.","Analog Devices Inc.","IC AFE 4 CHAN 14BIT 16WLCSP","2,892","6.03","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","14","4","-","1.7V ~ 1.9V","1.7V ~ 1.9V","Surface Mount","16-UFBGA, WLCSP","16-WLCSP (2.46x1.4)","-","-"
